Date,USD
2010-01-01,1087.5
2010-01-04,1121.5
2010-01-05,1123.25
2010-01-06,1130.0
2010-01-07,1130.25
2010-01-08,1126.75
2010-01-11,1153.0
2010-01-12,1151.25
2010-01-13,1127.25
2010-01-14,1138.25
2010-01-15,1128.0
2010-01-18,1134.5
2010-01-19,1133.0
2010-01-20,1120.25
2010-01-21,1108.25
2010-01-22,1084.0
2010-01-25,1095.25
2010-01-26,1093.25
2010-01-27,1094.75
2010-01-28,1088.0
2010-01-29,1078.5
2010-02-01,1086.5
2010-02-02,1111.0
2010-02-03,1115.25
2010-02-04,1083.25
2010-02-05,1058.0
2010-02-08,1064.0
2010-02-09,1071.25
2010-02-10,1069.5
2010-02-11,1076.25
2010-02-12,1082.0
2010-02-15,1098.25
2010-02-16,1115.25
2010-02-17,1119.0
2010-02-18,1118.0
2010-02-19,1112.75
2010-02-22,1115.25
2010-02-23,1107.0
2010-02-24,1103.0
2010-02-25,1094.5
2010-02-26,1108.25
2010-03-01,1114.0
2010-03-02,1126.5
2010-03-03,1136.5
2010-03-04,1134.5
2010-03-05,1135.0
2010-03-08,1125.75
2010-03-09,1115.75
2010-03-10,1120.5
2010-03-11,1104.0
2010-03-12,1106.25
2010-03-15,1104.25
2010-03-16,1124.75
2010-03-17,1121.75
2010-03-18,1122.75
2010-03-19,1105.5
2010-03-22,1097.25
2010-03-23,1101.5
2010-03-24,1090.75
2010-03-25,1093.0
2010-03-26,1096.5
2010-03-29,1107.5
2010-03-30,1107.0
2010-03-31,1115.5
2010-04-01,1123.5
2010-04-02,1123.5
2010-04-05,1123.5
2010-04-06,1132.75
2010-04-07,1142.0
2010-04-08,1148.0
2010-04-09,1152.5
2010-04-12,1158.75
2010-04-13,1148.25
2010-04-14,1153.75
2010-04-15,1154.5
2010-04-16,1151.5
2010-04-19,1136.25
2010-04-20,1144.75
2010-04-21,1143.0
2010-04-22,1133.75
2010-04-23,1139.5
2010-04-26,1154.5
2010-04-27,1149.5
2010-04-28,1161.0
2010-04-29,1166.75
2010-04-30,1179.25
2010-05-03,1179.25
2010-05-04,1185.0
2010-05-05,1165.0
2010-05-06,1185.25
2010-05-07,1202.25
2010-05-10,1196.5
2010-05-11,1222.5
2010-05-12,1237.5
2010-05-13,1237.5
2010-05-14,1236.5
2010-05-17,1236.0
2010-05-18,1216.75
2010-05-19,1195.0
2010-05-20,1192.0
2010-05-21,1179.75
2010-05-24,1187.0
2010-05-25,1198.25
2010-05-26,1212.0
2010-05-27,1211.0
2010-05-28,1207.5
2010-05-31,1207.5
2010-06-01,1227.75
2010-06-02,1215.0
2010-06-03,1215.0
2010-06-04,1203.5
2010-06-07,1215.0
2010-06-08,1246.0
2010-06-09,1233.5
2010-06-10,1217.5
2010-06-11,1220.0
2010-06-14,1223.75
2010-06-15,1225.0
2010-06-16,1234.5
2010-06-17,1245.0
2010-06-18,1256.0
2010-06-21,1254.5
2010-06-22,1236.0
2010-06-23,1226.5
2010-06-24,1236.25
2010-06-25,1254.0
2010-06-28,1261.0
2010-06-29,1234.5
2010-06-30,1244.0
2010-07-01,1234.0
2010-07-02,1201.5
2010-07-05,1208.0
2010-07-06,1195.0
2010-07-07,1193.25
2010-07-08,1193.5
2010-07-09,1208.75
2010-07-12,1205.5
2010-07-13,1216.0
2010-07-14,1207.0
2010-07-15,1208.0
2010-07-16,1189.25
2010-07-19,1181.0
2010-07-20,1183.0
2010-07-21,1191.5
2010-07-22,1199.5
2010-07-23,1190.5
2010-07-26,1183.5
2010-07-27,1168.0
2010-07-28,1157.0
2010-07-29,1162.5
2010-07-30,1169.0
2010-08-02,1188.5
2010-08-03,1187.5
2010-08-04,1199.5
2010-08-05,1192.5
2010-08-06,1207.75
2010-08-09,1203.0
2010-08-10,1192.5
2010-08-11,1205.5
2010-08-12,1213.0
2010-08-13,1214.25
2010-08-16,1223.5
2010-08-17,1226.0
2010-08-18,1218.0
2010-08-19,1233.5
2010-08-20,1223.5
2010-08-23,1226.0
2010-08-24,1222.0
2010-08-25,1237.5
2010-08-26,1237.0
2010-08-27,1235.0
2010-08-30,1235.0
2010-08-31,1246.0
2010-09-01,1246.5
2010-09-02,1248.5
2010-09-03,1240.5
2010-09-06,1249.0
2010-09-07,1256.75
2010-09-08,1255.0
2010-09-09,1255.0
2010-09-10,1246.5
2010-09-13,1243.75
2010-09-14,1265.5
2010-09-15,1267.0
2010-09-16,1272.5
2010-09-17,1274.0
2010-09-20,1279.25
2010-09-21,1275.0
2010-09-22,1293.5
2010-09-23,1290.75
2010-09-24,1297.0
2010-09-27,1297.0
2010-09-28,1294.0
2010-09-29,1307.5
2010-09-30,1307.0
2010-10-01,1316.25
2010-10-04,1313.5
