"Date","Price","Open","High","Low","Change %"
"May 26, 2022","23,210.0","23,200.0","23,215.0","23,197.5","0.09%"
"May 25, 2022","23,190.0","23,208.0","23,215.0","23,170.0","-0.09%"
"May 24, 2022","23,210.0","23,177.5","23,225.0","23,172.5","0.17%"
"May 23, 2022","23,170.0","23,167.0","23,175.0","23,129.0","0.04%"
"May 20, 2022","23,160.0","23,169.0","23,178.0","23,129.0","0.09%"
"May 19, 2022","23,140.0","23,142.5","23,174.5","23,112.0","0.00%"
"May 18, 2022","23,139.0","23,122.5","23,142.5","23,118.5","0.08%"
"May 17, 2022","23,120.0","23,097.5","23,175.5","23,085.0","0.11%"
"May 16, 2022","23,095.0","23,097.5","23,097.5","23,078.0","0.04%"
"May 13, 2022","23,086.0","23,097.5","23,097.5","23,084.0","-0.04%"
"May 12, 2022","23,096.0","23,055.0","23,102.5","23,040.0","0.20%"
"May 11, 2022","23,050.0","22,945.5","23,105.0","22,945.5","0.48%"
"May 10, 2022","22,941.0","22,952.5","22,962.5","22,937.0","-0.04%"
"May 09, 2022","22,950.0","22,960.0","22,963.0","22,944.0","-0.02%"
"May 06, 2022","22,955.0","22,960.5","22,971.5","22,952.0","0.00%"
"May 05, 2022","22,955.0","22,967.5","22,976.0","22,947.0","-0.05%"
"May 04, 2022","22,966.0","22,964.5","22,976.5","22,957.5","0.01%"
"Apr 29, 2022","22,963.5","22,959.5","22,975.5","22,954.0","0.03%"
"Apr 28, 2022","22,956.0","22,961.5","22,968.0","22,948.5","-0.04%"
"Apr 27, 2022","22,965.0","22,974.5","22,983.5","22,960.0","-0.02%"
"Apr 26, 2022","22,970.0","22,985.0","22,986.0","22,970.0","-0.06%"
"Apr 25, 2022","22,983.0","22,971.5","22,986.5","22,963.0","0.08%"
"Apr 22, 2022","22,965.0","22,970.5","22,972.5","22,963.0","0.01%"
"Apr 21, 2022","22,962.0","22,966.0","22,986.5","22,926.0","0.00%"
"Apr 20, 2022","22,962.0","22,962.5","22,986.5","22,916.5","0.03%"
"Apr 19, 2022","22,955.0","22,923.5","22,965.0","22,903.0","0.28%"
"Apr 18, 2022","22,890.0","22,902.5","22,931.5","22,892.5","-0.04%"
"Apr 15, 2022","22,899.0","22,902.0","22,906.5","22,842.5","-0.00%"
"Apr 14, 2022","22,900.0","22,891.0","22,903.0","22,888.5","0.06%"
"Apr 13, 2022","22,887.0","22,894.5","22,943.0","22,875.0","-0.00%"
"Apr 12, 2022","22,888.0","22,874.5","22,890.5","22,863.0","0.12%"
"Apr 08, 2022","22,860.0","22,857.5","22,874.0","22,842.5","0.00%"
"Apr 07, 2022","22,859.0","22,866.0","22,875.0","22,840.0","-0.03%"
"Apr 06, 2022","22,866.0","22,877.5","22,878.5","22,842.5","-0.03%"
"Apr 05, 2022","22,873.0","22,848.5","22,876.5","22,842.5","0.12%"
"Apr 04, 2022","22,846.0","22,850.0","22,853.5","22,835.5","0.04%"
"Apr 01, 2022","22,837.0","22,839.5","22,855.0","22,832.0","-0.00%"
"Mar 31, 2022","22,838.0","22,856.5","22,868.0","22,832.0","-0.07%"
"Mar 30, 2022","22,854.0","22,878.0","22,879.0","22,852.0","-0.05%"
"Mar 29, 2022","22,865.0","22,877.5","22,879.0","22,865.0","0.02%"
"Mar 28, 2022","22,860.0","22,872.0","22,877.5","22,842.5","-0.00%"
